temperature_c,humidity_pct,delta_temp,delta_humi,comfort_class,comfort_label
25.1,37.0,0.0,-1.3999999999999986,3,HOT
32.8,55.0,0.29999999999999716,4.0,2,WARM_HUMID
23.1,31.0,0.40000000000000213,0.0,1,COMFORT
29.7,21.0,-1.0,1.0,2,WARM_HUMID
25.2,48.0,0.0,0.0,1,COMFORT
29.7,42.9,0.3000000000000007,-5.0,0,COLD
24.0,63.2,-0.8999999999999986,2.0,1,COMFORT
22.5,53.4,0.0,0.5,1,COMFORT
23.0,27.3,1.5,-0.3000000000000007,1,COMFORT
25.5,55.6,-0.10000000000000142,0.0,2,WARM_HUMID
35.5,30.4,1.5,0.5,2,WARM_HUMID
28.0,56.0,0.0,0.0,2,WARM_HUMID
25.8,80.2,0.6000000000000014,5.0,1,COMFORT
23.3,38.0,0.0,0.0,3,HOT
21.4,31.4,1.5,-5.0,0,COLD
23.9,28.7,0.1999999999999993,-5.0,1,COMFORT
23.1,67.9,-0.3999999999999986,0.20000000000000284,0,COLD
23.4,57.8,0.0,0.0,1,COMFORT
21.6,47.0,-0.1999999999999993,1.0,0,COLD
22.5,53.0,-0.8000000000000007,-5.0,1,COMFORT
25.9,66.7,0.0,0.0,1,COMFORT
23.8,44.6,0.40000000000000213,-0.5,2,WARM_HUMID
23.0,63.3,-0.10000000000000142,2.6999999999999957,1,COMFORT
22.0,61.6,0.0,0.0,2,WARM_HUMID
25.6,49.0,0.0,0.0,3,HOT
21.4,40.1,-1.5,5.0,1,COMFORT
24.3,23.8,1.5,-5.0,2,WARM_HUMID
26.1,14.0,1.5,1.0999999999999996,1,COMFORT
17.1,60.1,-1.5,5.0,1,COMFORT
21.5,41.6,-0.8000000000000007,2.700000000000003,1,COMFORT
33.1,57.4,-1.3999999999999986,2.799999999999997,2,WARM_HUMID
22.6,42.4,-1.5,5.0,0,COLD
22.3,50.1,0.0,0.0,2,WARM_HUMID
15.4,57.0,0.0,0.0,0,COLD
24.8,41.7,-1.5,3.5,1,COMFORT
25.9,37.0,0.0,0.0,1,COMFORT
23.8,29.1,1.5,-5.0,1,COMFORT
25.4,44.0,-0.10000000000000142,-1.0,0,COLD
16.3,52.0,-1.5,-5.0,0,COLD
29.8,76.8,-0.8000000000000007,0.5,1,COMFORT
32.0,29.0,0.6999999999999993,-3.0,3,HOT
25.5,35.6,0.0,1.5,2,WARM_HUMID
22.3,45.8,0.1999999999999993,-5.0,0,COLD
23.1,48.4,0.40000000000000213,0.10000000000000142,0,COLD
24.5,42.9,-1.5,5.0,1,COMFORT
30.4,31.0,-0.40000000000000213,5.0,2,WARM_HUMID
23.6,40.1,0.8000000000000007,-3.0,3,HOT
24.1,46.0,0.0,0.0,0,COLD
22.1,81.3,-1.5,5.0,0,COLD
20.9,55.0,0.09999999999999787,-2.799999999999997,3,HOT
27.7,50.3,0.1999999999999993,3.6999999999999957,1,COMFORT
22.0,33.8,-0.5,-5.0,1,COMFORT
23.7,48.0,-1.1000000000000014,2.0,1,COMFORT
23.5,41.6,1.0,-4.0,1,COMFORT
27.8,80.0,0.3000000000000007,5.0,1,COMFORT
23.0,58.8,0.0,0.0,0,COLD
