temperature_c_norm,humidity_pct_norm,delta_temp_norm,delta_humi_norm,comfort_class,comfort_label
1.314284408475373,-0.36490149307204633,0.6961480528868308,-1.50333845485041,2,WARM_HUMID
0.4405377693465551,-0.5646136321568528,0.5868190219692291,0.8579678165960399,2,WARM_HUMID
0.8361966248011145,-1.2011960754896722,1.8613745213333937,-0.22135733274033312,2,WARM_HUMID
-0.6640098687974221,1.7632809890504193,-0.35601861179698435,0.08975274319373067,0,COLD
-0.9937255816762213,-0.676951710392056,1.1916996580534926,-0.5153691455546133,0,COLD
1.0669976238162737,-1.3634621884960774,0.9030323553112667,1.2653541222212454,2,WARM_HUMID
-1.2245265806913805,0.745997280587188,-1.165782935119158,0.9485521447392733,0,COLD
-0.2353794420549829,-0.5833366451960531,-0.46230286202742593,-0.25038003630423505,1,COMFORT
-0.6145525118656021,-0.2088763844120415,-1.4972886468607627,-0.32645135471133585,1,COMFORT
-0.30132258463074313,-0.9390738929408644,0.4576753338003793,-0.8138015284614606,1,COMFORT
-0.3837515128504429,-0.6956747234312565,-0.13440476435605628,-0.699015662950126,1,COMFORT
0.7702534822253543,1.7383169716648192,-0.584577293970601,-1.4223011364782732,2,WARM_HUMID
0.11082205646775589,0.35905501111037624,-0.8058265590128627,0.4863292652474474,2,WARM_HUMID
0.4075661980586753,0.20302990245037136,-1.2962415113355772,2.691896298566704,2,WARM_HUMID
0.37459462677079547,-1.7441634536264894,-0.09647587083622274,-1.507063853741753,2,WARM_HUMID
-1.0596687242519809,-0.0965383061768382,0.3392047593732107,-0.8661780422280252,0,COLD
0.4075661980586753,1.232795619606403,-2.205691686110751,-0.09866839931706728,1,COMFORT
-0.5650951549337822,-0.708156732124057,0.5203993407477194,-0.34358607191228957,1,COMFORT
-1.1915550094035008,0.4838750980383801,1.0705802790946917,-0.4069846628815816,0,COLD
-0.1694362994792233,-0.5209266017320512,-0.35764663779375405,0.8161607244116378,1,COMFORT
0.3581088411268553,0.13437885463996915,1.6391294479050749,0.6919502205694694,1,COMFORT
-0.9607540103883415,-0.19639437571924095,0.5819348085943784,0.04165818693955538,0,COLD
-0.9112966534565216,-1.251124110260874,1.2263474590238752,0.0009970790880290785,1,COMFORT
0.34162305548291566,0.5088391154239807,0.9847917937201364,-0.05624936382746946,1,COMFORT
0.028393128248056097,-0.7206387408168576,0.037501202441347,-1.1823353684281979,2,WARM_HUMID
-1.076154509895921,-1.737922449280089,-1.4272285906643918,-2.6377650135725967,0,COLD
0.011907342604116487,-0.20263538006564122,-0.5831744427760879,-1.0074414090568486,1,COMFORT
1.314284408475373,-0.12774332790883916,-2.2849337831607586,-0.5479072781357216,3,HOT
0.011907342604116487,-1.357221184149677,-0.10920852601962269,0.30605581786673625,2,WARM_HUMID
-0.7958961539489419,0.28416295895357374,-1.2741731158536136,0.7099136433021972,0,COLD
0.2262225559753355,-0.5458906191176519,0.7301643609417405,-1.9178627100328065,2,WARM_HUMID
-0.07052158561558332,0.6336592023519847,0.8722008633368074,1.8412045470705556,1,COMFORT
-0.4496946554262025,0.34033199807117537,1.0599705247095577,-0.360005525237573,1,COMFORT
0.2262225559753355,-0.8704228451304622,-0.7768853465372321,1.2478409297855102,2,WARM_HUMID
1.9242584773011522,-0.5708546365032525,0.33427684932432417,0.09151506310030558,3,HOT
0.4405377693465551,2.075331206370429,0.13693085153008083,-0.849122120454074,2,WARM_HUMID
0.6548529827177747,-0.3024914496080444,-1.3642137690297016,0.9407398423817295,2,WARM_HUMID
1.8748011203693316,-0.46475756261444956,0.019294011247510467,-0.26698720033019885,3,HOT
-0.7299530113731817,-0.9515559016336644,0.748364210596956,-1.0906117729575557,0,COLD
0.7537676965814147,0.5088391154239807,0.9541041726822852,1.3267843156553754,2,WARM_HUMID
-0.1529505138352831,1.3638567108808075,0.7744463365085195,0.6349573336128926,1,COMFORT
-0.5650951549337822,1.7195939586256188,-1.3800523224760635,0.18034049941896527,0,COLD
0.5064809119223153,0.4589110806527794,-0.31820793412861065,0.9479728633117566,1,COMFORT
-0.1694362994792233,-0.8641818407840619,1.9287704232316927,-1.17309932732672,1,COMFORT
-1.0431829386080413,-1.1949550711432722,1.2314423379003658,-0.2606541478502314,0,COLD
-1.53775650792624,1.1142165370247998,0.09320106987404533,0.7030758312690044,0,COLD
-0.3178083702746827,0.577490163234383,-0.07211606073255498,-0.8360712092160514,1,COMFORT
-0.9112966534565216,-1.032688958136867,-0.5041975634388998,-0.03726083990147353,0,COLD
-0.30132258463074313,-0.3773835017648469,-0.5869109367511399,-1.402320694159546,1,COMFORT
1.034026052528394,-1.6692714014696868,0.10756554756265552,-0.17180688642218397,2,WARM_HUMID
0.3910804124147351,0.8084073240511899,0.308037154945458,-0.9718762284842969,2,WARM_HUMID
-0.8453535108807619,-0.6644697016992555,-0.16660078652306434,-1.1514222555626183,0,COLD
0.8032250535132341,-1.3010521450320753,0.760434015786362,-1.1262894621657003,2,WARM_HUMID
1.4791422649147727,-0.5521316234640522,1.553867916086654,-1.0239367953020635,3,HOT
-0.08700737125952351,-1.1699910537576712,-0.3629991535008996,0.3840407299403232,1,COMFORT
-1.3893844371307802,0.6336592023519847,-1.0803856187188556,-0.5589799672499871,0,COLD
-1.1585834381156208,0.14061985898636944,1.1867263194843145,-0.7652893994436081,0,COLD
-2.015844291600499,0.7896843110119895,-0.3388978788297744,0.3769579303242548,0,COLD
1.4461706936268923,-0.36490149307204633,0.09384830126644808,0.8830028590603314,3,HOT
-0.2188936564110433,-0.9328328885944641,0.3547712312361328,-1.1491918214189574,1,COMFORT
0.951597124308694,-1.737922449280089,-0.47258546780584104,-0.21092729866546803,2,WARM_HUMID
0.7372819109374745,-0.47099856696084985,0.1368266195300835,-0.8700482619867507,2,WARM_HUMID
-0.20240787076710312,-0.1152613192160386,0.5647213595070638,1.7130367373409832,1,COMFORT
0.4405377693465551,-0.6145416669280541,-1.4938421050040067,1.7172191957987557,2,WARM_HUMID
-0.2353794420549829,-0.5458906191176519,0.11939930442805274,0.5104810641720572,1,COMFORT
-0.4661804410701427,-1.3447391754568767,-0.055152689854523936,-1.4269244525240143,1,COMFORT
-0.9112966534565216,-0.5396496147712516,-1.9513756196230265,0.7840592383308551,0,COLD
-0.7464387970171219,-0.38986551045764706,-0.4151836137231057,0.7193045875495042,1,COMFORT
0.8032250535132341,0.7023102501623869,0.3600914797581345,1.3742607256176411,2,WARM_HUMID
0.061364699535935895,-0.9141098755552632,-0.23614218221055389,0.9443130054679939,2,WARM_HUMID
0.4899951262783751,2.3062483671872362,-0.20645929078256534,0.47414365959823795,1,COMFORT
-0.6804956544413623,-1.1387860320256704,-1.0813999173639655,-1.2688226425244957,0,COLD
-2.4609605039868776,0.22799391983597206,-0.4961804053495662,1.2963450479504326,0,COLD
0.8032250535132341,-1.1762320581040715,2.8671770721658785,1.0806542099536267,2,WARM_HUMID
0.2591941272632159,-0.5770956408496528,-1.1830707266957192,-1.510745215408126,2,WARM_HUMID
0.951597124308694,1.900583084671224,2.2285993637149044,-1.1124621196618973,3,HOT
0.5064809119223153,-0.708156732124057,1.6120024761731226,0.6356854845717467,2,WARM_HUMID
-0.8618392965247015,-0.708156732124057,0.5596484941972614,-1.1321899109561082,0,COLD
-0.08700737125952351,-0.9515559016336644,-0.21480995600834063,1.22023412905157,2,WARM_HUMID
-2.4774462896308176,0.3840190284959769,-0.34627481913997293,-0.7258763730721265,0,COLD
-1.8509864351610992,0.42770605892077845,-1.1054047260369486,0.2741070075636985,0,COLD
-0.7299530113731817,-0.5958186538888537,-0.31303045849746164,-0.6619758499160253,1,COMFORT
-1.3893844371307802,0.4963571067311802,-0.38124648084875506,0.5912738639066082,0,COLD
0.7702534822253543,0.9082633935935931,1.6467385402013752,0.8891836472688037,2,WARM_HUMID
1.4461706936268923,0.5400441371559818,0.06894653816904045,-0.41081371724051186,3,HOT
-0.2188936564110433,0.34657300241757566,-1.6073844586828447,-0.3621955059277122,1,COMFORT
-0.7299530113731817,1.320169680456006,0.9290130142986022,-0.05984006619624262,1,COMFORT
1.2648270515435536,1.3388926934952063,-0.6399497349331891,0.5750829662640987,3,HOT
0.4735093406344349,0.1967888981039711,-0.7994926254482136,0.46487887369962566,2,WARM_HUMID
-0.5650951549337822,-1.6630303971232867,0.36497380310942357,0.598717893226799,1,COMFORT
1.940744262945091,-0.5521316234640522,-2.2833973409018835,0.8049367947470589,3,HOT
0.2921656985510957,-1.0514119711760677,-0.581648009322695,0.5234064732777538,2,WARM_HUMID
-0.5815809405777222,-0.9453148972872643,0.8417622237717018,1.552822863235411,1,COMFORT
-0.5321235836459023,-1.095099001600869,-1.003946943535502,0.884331685301878,1,COMFORT
1.3802275510511326,0.6336592023519847,0.49703938394896774,-0.4255661218153728,3,HOT
-0.8453535108807619,-0.6644697016992555,-1.144038647683065,-0.36135199764751436,0,COLD
1.2977986228314329,1.0705295065999982,-1.25330628421244,0.167636169408744,2,WARM_HUMID
0.6713387683617149,-1.2386421015680735,-1.5293138951241405,-1.6586850577874406,1,COMFORT
0.11082205646775589,1.201590597874402,1.8779359877981376,0.4032847455550553,1,COMFORT
-0.9937255816762213,0.7959253153583898,0.04013259681726197,1.056324740060781,0,COLD
-0.3178083702746827,1.2390366239528037,0.7431325910480041,1.005817663260556,1,COMFORT
-0.6969814400853019,-1.1512680407184708,1.3980784911371098,0.7868353793981167,0,COLD
-1.3893844371307802,0.6274181980055844,1.2650777882849782,-0.17608782992286073,0,COLD
-0.2848367989868029,0.2155119111431715,-1.0668386460997759,1.0039727791030482,1,COMFORT
-1.257498151979261,-1.4570772536920802,1.321102281515169,-0.9087861158089656,0,COLD
-0.4826662267140823,-0.17143035833364026,0.9977450413679037,-0.051085113444451394,1,COMFORT
0.6878245540056545,0.3902600328423772,-1.7679298113212456,-1.8719179619630517,2,WARM_HUMID
0.6548529827177747,-1.1637500494112711,-1.148753827110702,-2.056397327228631,2,WARM_HUMID
-0.9937255816762213,0.1905478937575708,-0.4010865480083557,1.2772031506593677,0,COLD
-1.53775650792624,0.05948680248316665,0.21784993829454277,1.3467380586900266,0,COLD
1.5121138362026532,0.15934287202556985,0.5871296477092647,1.3036271607350665,3,HOT
-0.1529505138352831,-1.5569333232344835,0.14720041712766752,1.9111057251947505,2,WARM_HUMID
1.4791422649147727,-0.5521316234640522,1.553867916086654,-1.0239367953020635,3,HOT
0.5889098401420151,1.0705295065999982,0.3760730175040799,0.43654901684865166,2,WARM_HUMID
1.2318554802556734,-0.17767136268004055,1.0969505381099058,0.33962655410084913,3,HOT
0.6878245540056545,-0.24008140614404247,1.7893844946390738,0.08615319494497134,2,WARM_HUMID
-0.8453535108807619,-0.5583726278104525,0.6756928206810955,-1.5039006727444897,0,COLD
-1.3564128658429002,1.0830115152927988,-1.214355390985249,0.3023062494118647,0,COLD
0.7702534822253543,0.8208893327439905,-0.8331709587977378,0.5243866939091986,2,WARM_HUMID
0.37459462677079547,0.34033199807117537,-0.15150329791975956,1.0584482997063889,2,WARM_HUMID
1.0505118381723335,0.02828178075116568,-0.09015243888911845,-0.9637468652879442,2,WARM_HUMID
0.2097367703313959,1.0081194631359962,0.44863928968105005,-1.2388161298054516,1,COMFORT
0.1437936277556357,-0.8953868625160628,0.24554676843500425,2.375303871680465,2,WARM_HUMID
1.2977986228314329,-0.1152613192160386,0.9176423516887272,0.16235849820853346,3,HOT
-0.3507799415625631,-1.5881383449664845,-1.4041618158048532,-0.3148877422430186,1,COMFORT
0.9186255530208143,1.1329395500640003,0.338289343158305,0.302422785433098,2,WARM_HUMID
0.011907342604116487,0.8084073240511899,-0.9789402553192389,-0.29381072943671827,1,COMFORT
-0.2188936564110433,-0.9515559016336644,1.1322192043901962,0.005901258758115065,1,COMFORT
-0.1034931569034637,-0.07781529313763735,1.0179667158273953,1.1367047825840033,1,COMFORT
1.314284408475373,0.13437885463996915,-1.599823283475787,-0.4155483661302746,3,HOT
1.3637417654071926,-1.5881383449664845,-0.6126701757341261,-0.7904159520320374,3,HOT
1.083483409460214,1.195349593528002,1.6872995365937418,-0.3728148732518879,2,WARM_HUMID
